Ngành,Số dự án cấp mới,Vốn đăng ký cấp mới (triệu USD),Số lượt dự án điều chỉnh,Vốn đăng ký điều chỉnh (triệu USD),Số lượt góp vốn mua cổ phần,"Giá trị góp vốn, mua cổ phần (triệu USD)",Năm
Vận tải kho bãi,71.24999999999999,278.0949999999999,20.54790999799218,51.166969935384245,134.74999999999997,167.83999999999995,2024
Vận tải kho bãi,71.24999999999999,278.0949999999999,20.54790999799218,53.7524679254195,134.74999999999997,167.83999999999995,2025
Dịch vụ lưu trú và ăn uống,68.40064789455148,89.99624999999999,17.624999999999996,50.03624999999999,292.37499999999994,173.35291754098733,2023
Dịch vụ lưu trú và ăn uống,99.43584336800384,89.99624999999999,17.624999999999996,50.03624999999999,292.37499999999994,327.32275063135535,2024
Dịch vụ lưu trú và ăn uống,105.74939928473401,89.99624999999999,17.624999999999996,50.03624999999999,292.37499999999994,389.68598146283637,2025
Thông tin và truyền thông,211.12499999999997,141.37499999999997,46.49999999999999,-59.387424664507876,264.9684655397495,139.53379362375586,2023
Thông tin và truyền thông,211.12499999999997,141.37499999999997,46.49999999999999,128.93563045290367,230.19110731308007,120.45087579211143,2024
Thông tin và truyền thông,211.12499999999997,141.37499999999997,46.49999999999999,254.8189033674407,199.97830978899225,103.97777557892309,2025
Hoạt động hành chính và dịch vụ hỗ trợ,54.62499999999999,33.52124999999999,12.499999999999998,16.263749999999995,57.74353787830311,51.44374999999999,2023
Hoạt động hành chính và dịch vụ hỗ trợ,54.62499999999999,33.52124999999999,12.499999999999998,16.263749999999995,47.63308809575751,51.44374999999999,2024
Hoạt động hành chính và dịch vụ hỗ trợ,54.62499999999999,33.52124999999999,12.499999999999998,16.263749999999995,39.2929003816846,51.44374999999999,2025
Hoạt động dịch vụ khác,6.874999999999999,19.069999999999993,4.260412108071573,8.041249999999998,14.874999999999996,5.689999999999999,2023
Hoạt động dịch vụ khác,6.874999999999999,19.069999999999993,4.260350812452852,8.041249999999998,14.874999999999996,5.689999999999999,2024
Hoạt động dịch vụ khác,6.874999999999999,19.069999999999993,4.260289517716008,8.041249999999998,14.874999999999996,5.689999999999999,2025
Giáo dục và đào tạo,53.24999999999999,21.02454483374339,14.613929602634986,26.454999999999995,41.2624242510306,41.62249999999999,2023
Giáo dục và đào tạo,53.24999999999999,28.703211293335173,13.791519194065184,26.454999999999995,33.38407166807919,41.62249999999999,2024
Giáo dục và đào tạo,53.24999999999999,28.703211293335173,13.303550558843092,26.454999999999995,27.00995545872734,41.62249999999999,2025
Cấp nước và xử lý chất thải,6.249999999999999,135.91819002459079,2.624999999999999,16.016249999999996,5.296234359741463,74.49777044509217,2023
Cấp nước và xử lý chất thải,6.249999999999999,260.29431109653746,2.624999999999999,16.016249999999996,4.007156913329439,42.33169585820629,2024
Cấp nước và xử lý chất thải,6.249999999999999,269.3101633579433,2.624999999999999,16.016249999999996,3.0318345898929886,56.298421717973085,2025
Y tế và hoạt động trợ giúp xã hội,7.374999999999999,28.988749999999992,4.124999999999999,0.0,18.665631881533606,5.354789624383529,2023
Y tế và hoạt động trợ giúp xã hội,7.374999999999999,28.988749999999992,4.124999999999999,0.0,26.984639824443157,3.1789104125726713,2024
Y tế và hoạt động trợ giúp xã hội,7.374999999999999,28.988749999999992,4.124999999999999,0.0,29.483459402871674,1.8871836467947785,2025
Khai khoáng,1.3749999981308167,0.0,0.6249999974442165,8.249999999999998,4.124999999999999,5.077499999999999,2023
Khai khoáng,1.3749999981308167,0.0,0.6249999974442165,8.249999999999998,4.124999999999999,5.077499999999999,2024
Khai khoáng,1.3749999981308167,0.0,0.6249999974442165,8.249999999999998,4.124999999999999,5.077499999999999,2025
"Nghệ thuật, vui chơi và giải trí",0.8166874093656706,0.0,1.8749999999999996,0.0,8.374999999999998,0.0,2023
"Nghệ thuật, vui chơi và giải trí",0.6669783246164105,0.0,1.8749999999999996,0.0,8.374999999999998,0.0,2024
"Nghệ thuật, vui chơi và giải trí",0.5447128000340316,0.0,1.8749999999999996,0.0,8.374999999999998,0.0,2025
"Hoạt động tài chính, ngân hàng và bảo hiểm",8.529328563202473,0.0,1.8749999999999996,42.09999999999999,23.999999999999996,178.21999999999997,2023
"Hoạt động tài chính, ngân hàng và bảo hiểm",3.0710510311248544,0.0,1.8749999999999996,42.09999999999999,23.999999999999996,178.21999999999997,2024
"Hoạt động tài chính, ngân hàng và bảo hiểm",6.83659452104923,0.0,1.8749999999999996,42.09999999999999,23.999999999999996,178.21999999999997,2025
Hoạt đông làm thuê các công việc trong các hộ gia đình,0.6249999995124181,0.5099999987376104,0.0,0.0,0.0,0.0,2023
Hoạt đông làm thuê các công việc trong các hộ gia đình,0.6249999995124181,0.5099999987376104,0.0,0.0,0.0,0.0,2024
Hoạt đông làm thuê các công việc trong các hộ gia đình,0.6249999995124181,0.5099999987376104,0.0,0.0,0.0,0.0,2025
